     itr, time , potential ,strain(%)
         0 ,    0.40000E+01 ,   -0.56957E+00 ,   -0.18683E-01 , 
         0 ,    0.40500E+01 ,   -0.55658E+00 ,   -0.18486E-01 , 
         0 ,    0.41000E+01 ,   -0.54140E+00 ,   -0.18214E-01 , 
         0 ,    0.41500E+01 ,   -0.52407E+00 ,   -0.17867E-01 , 
         0 ,    0.42000E+01 ,   -0.50467E+00 ,   -0.17447E-01 , 
         0 ,    0.42500E+01 ,   -0.48327E+00 ,   -0.16955E-01 , 
         0 ,    0.43000E+01 ,   -0.45996E+00 ,   -0.16393E-01 , 
         0 ,    0.43500E+01 ,   -0.43483E+00 ,   -0.15765E-01 , 
         0 ,    0.44000E+01 ,   -0.40798E+00 ,   -0.15071E-01 , 
         0 ,    0.44500E+01 ,   -0.37952E+00 ,   -0.14316E-01 , 
         0 ,    0.45000E+01 ,   -0.34956E+00 ,   -0.13501E-01 , 
         0 ,    0.45500E+01 ,   -0.31821E+00 ,   -0.12631E-01 , 
         0 ,    0.46000E+01 ,   -0.28560E+00 ,   -0.11708E-01 , 
         0 ,    0.46500E+01 ,   -0.25187E+00 ,   -0.10737E-01 , 
         0 ,    0.47000E+01 ,   -0.21714E+00 ,   -0.97208E-02 , 
         0 ,    0.47500E+01 ,   -0.18155E+00 ,   -0.86641E-02 , 
         0 ,    0.48000E+01 ,   -0.14524E+00 ,   -0.75710E-02 , 
         0 ,    0.48500E+01 ,   -0.10836E+00 ,   -0.64457E-02 , 
         0 ,    0.49000E+01 ,   -0.71048E-01 ,   -0.52928E-02 , 
         0 ,    0.49500E+01 ,   -0.33456E-01 ,   -0.41169E-02 , 
         0 ,    0.50000E+01 ,    0.42687E-02 ,   -0.29225E-02 , 
         0 ,    0.50500E+01 ,    0.41976E-01 ,   -0.17146E-02 , 
         0 ,    0.51000E+01 ,    0.79518E-01 ,   -0.49777E-03 , 
         0 ,    0.51500E+01 ,    0.11674E+00 ,    0.72301E-03 , 
         0 ,    0.52000E+01 ,    0.15351E+00 ,    0.19429E-02 , 
         0 ,    0.52500E+01 ,    0.18967E+00 ,    0.31571E-02 , 
         0 ,    0.53000E+01 ,    0.22508E+00 ,    0.43608E-02 , 
         0 ,    0.53500E+01 ,    0.25959E+00 ,    0.55491E-02 , 
         0 ,    0.54000E+01 ,    0.29308E+00 ,    0.67174E-02 , 
         0 ,    0.54500E+01 ,    0.32541E+00 ,    0.78610E-02 , 
         0 ,    0.55000E+01 ,    0.35646E+00 ,    0.89754E-02 , 
         0 ,    0.55500E+01 ,    0.38609E+00 ,    0.10056E-01 , 
         0 ,    0.56000E+01 ,    0.41420E+00 ,    0.11099E-01 , 
         0 ,    0.56500E+01 ,    0.44067E+00 ,    0.12100E-01 , 
         0 ,    0.57000E+01 ,    0.46539E+00 ,    0.13054E-01 , 
         0 ,    0.57500E+01 ,    0.48828E+00 ,    0.13959E-01 , 
         0 ,    0.58000E+01 ,    0.50923E+00 ,    0.14810E-01 , 
         0 ,    0.58500E+01 ,    0.52817E+00 ,    0.15605E-01 , 
         0 ,    0.59000E+01 ,    0.54502E+00 ,    0.16339E-01 , 
         0 ,    0.59500E+01 ,    0.55972E+00 ,    0.17011E-01 , 
         0 ,    0.60000E+01 ,    0.57220E+00 ,    0.17616E-01 , 
         0 ,    0.60500E+01 ,    0.58241E+00 ,    0.18154E-01 , 
         0 ,    0.61000E+01 ,    0.59033E+00 ,    0.18622E-01 , 
         0 ,    0.61500E+01 ,    0.59590E+00 ,    0.19018E-01 , 
         0 ,    0.62000E+01 ,    0.59913E+00 ,    0.19340E-01 , 
         0 ,    0.62500E+01 ,    0.59998E+00 ,    0.19587E-01 , 
         0 ,    0.63000E+01 ,    0.59845E+00 ,    0.19758E-01 , 
         0 ,    0.63500E+01 ,    0.59457E+00 ,    0.19853E-01 , 
         0 ,    0.64000E+01 ,    0.58832E+00 ,    0.19871E-01 , 
         0 ,    0.64500E+01 ,    0.57976E+00 ,    0.19811E-01 , 
         0 ,    0.65000E+01 ,    0.56889E+00 ,    0.19675E-01 , 
         0 ,    0.65500E+01 ,    0.55578E+00 ,    0.19463E-01 , 
         0 ,    0.66000E+01 ,    0.54047E+00 ,    0.19175E-01 , 
         0 ,    0.66500E+01 ,    0.52303E+00 ,    0.18812E-01 , 
         0 ,    0.67000E+01 ,    0.50351E+00 ,    0.18377E-01 , 
         0 ,    0.67500E+01 ,    0.48200E+00 ,    0.17870E-01 , 
         0 ,    0.68000E+01 ,    0.45859E+00 ,    0.17294E-01 , 
         0 ,    0.68500E+01 ,    0.43336E+00 ,    0.16651E-01 , 
         0 ,    0.69000E+01 ,    0.40641E+00 ,    0.15944E-01 , 
         0 ,    0.69500E+01 ,    0.37786E+00 ,    0.15175E-01 , 
         0 ,    0.70000E+01 ,    0.34782E+00 ,    0.14347E-01 , 
         0 ,    0.70500E+01 ,    0.31640E+00 ,    0.13464E-01 , 
         0 ,    0.71000E+01 ,    0.28373E+00 ,    0.12529E-01 , 
         0 ,    0.71500E+01 ,    0.24993E+00 ,    0.11546E-01 , 
         0 ,    0.72000E+01 ,    0.21515E+00 ,    0.10518E-01 , 
         0 ,    0.72500E+01 ,    0.17951E+00 ,    0.94498E-02 , 
         0 ,    0.73000E+01 ,    0.14317E+00 ,    0.83456E-02 , 
         0 ,    0.73500E+01 ,    0.10626E+00 ,    0.72097E-02 , 
         0 ,    0.74000E+01 ,    0.68928E-01 ,    0.60464E-02 , 
         0 ,    0.74500E+01 ,    0.31324E-01 ,    0.48605E-02 , 
         0 ,    0.75000E+01 ,   -0.64030E-02 ,    0.36565E-02 , 
         0 ,    0.75500E+01 ,   -0.44105E-01 ,    0.24392E-02 , 
         0 ,    0.76000E+01 ,   -0.81633E-01 ,    0.12134E-02 , 
         0 ,    0.76500E+01 ,   -0.11884E+00 ,   -0.15954E-04 , 
         0 ,    0.77000E+01 ,   -0.15557E+00 ,   -0.12441E-02 , 
         0 ,    0.77500E+01 ,   -0.19169E+00 ,   -0.24663E-02 , 
         0 ,    0.78000E+01 ,   -0.22705E+00 ,   -0.36775E-02 , 
         0 ,    0.78500E+01 ,   -0.26152E+00 ,   -0.48731E-02 , 
         0 ,    0.79000E+01 ,   -0.29494E+00 ,   -0.60483E-02 , 
         0 ,    0.79500E+01 ,   -0.32721E+00 ,   -0.71985E-02 , 
         0 ,    0.80000E+01 ,   -0.35817E+00 ,   -0.83192E-02 , 
         0 ,    0.80500E+01 ,   -0.38772E+00 ,   -0.94059E-02 , 
         0 ,    0.81000E+01 ,   -0.41574E+00 ,   -0.10454E-01 , 
         0 ,    0.81500E+01 ,   -0.44211E+00 ,   -0.11460E-01 , 
         0 ,    0.82000E+01 ,   -0.46674E+00 ,   -0.12420E-01 , 
         0 ,    0.82500E+01 ,   -0.48952E+00 ,   -0.13329E-01 , 
         0 ,    0.83000E+01 ,   -0.51036E+00 ,   -0.14185E-01 , 
         0 ,    0.83500E+01 ,   -0.52918E+00 ,   -0.14984E-01 , 
         0 ,    0.84000E+01 ,   -0.54591E+00 ,   -0.15722E-01 , 
         0 ,    0.84500E+01 ,   -0.56048E+00 ,   -0.16397E-01 , 
         0 ,    0.85000E+01 ,   -0.57283E+00 ,   -0.17007E-01 , 
         0 ,    0.85500E+01 ,   -0.58292E+00 ,   -0.17548E-01 , 
         0 ,    0.86000E+01 ,   -0.59070E+00 ,   -0.18018E-01 , 
         0 ,    0.86500E+01 ,   -0.59615E+00 ,   -0.18417E-01 , 
         0 ,    0.87000E+01 ,   -0.59924E+00 ,   -0.18741E-01 , 
         0 ,    0.87500E+01 ,   -0.59995E+00 ,   -0.18991E-01 , 
         0 ,    0.88000E+01 ,   -0.59830E+00 ,   -0.19164E-01 , 
         0 ,    0.88500E+01 ,   -0.59427E+00 ,   -0.19261E-01 , 
         0 ,    0.89000E+01 ,   -0.58790E+00 ,   -0.19281E-01 , 
         0 ,    0.89500E+01 ,   -0.57920E+00 ,   -0.19223E-01 , 
         0 ,    0.90000E+01 ,   -0.56821E+00 ,   -0.19089E-01 , 
         0 ,    0.90500E+01 ,   -0.55498E+00 ,   -0.18878E-01 , 
         0 ,    0.91000E+01 ,   -0.53954E+00 ,   -0.18592E-01 , 
         0 ,    0.91500E+01 ,   -0.52198E+00 ,   -0.18231E-01 , 
         0 ,    0.92000E+01 ,   -0.50234E+00 ,   -0.17797E-01 , 
         0 ,    0.92500E+01 ,   -0.48073E+00 ,   -0.17292E-01 , 
         0 ,    0.93000E+01 ,   -0.45721E+00 ,   -0.16718E-01 , 
         0 ,    0.93500E+01 ,   -0.43188E+00 ,   -0.16076E-01 , 
         0 ,    0.94000E+01 ,   -0.40484E+00 ,   -0.15371E-01 , 
         0 ,    0.94500E+01 ,   -0.37620E+00 ,   -0.14604E-01 , 
         0 ,    0.95000E+01 ,   -0.34608E+00 ,   -0.13778E-01 , 
         0 ,    0.95500E+01 ,   -0.31458E+00 ,   -0.12897E-01 , 
         0 ,    0.96000E+01 ,   -0.28184E+00 ,   -0.11964E-01 , 
         0 ,    0.96500E+01 ,   -0.24799E+00 ,   -0.10983E-01 , 
         0 ,    0.97000E+01 ,   -0.21315E+00 ,   -0.99575E-02 , 
         0 ,    0.97500E+01 ,   -0.17748E+00 ,   -0.88922E-02 , 
         0 ,    0.98000E+01 ,   -0.14110E+00 ,   -0.77910E-02 , 
         0 ,    0.98500E+01 ,   -0.10416E+00 ,   -0.66582E-02 , 
         0 ,    0.99000E+01 ,   -0.66807E-01 ,   -0.54984E-02 , 
         0 ,    0.99500E+01 ,   -0.29193E-01 ,   -0.43160E-02 , 
         0 ,    0.10000E+02 ,    0.85372E-02 ,   -0.31160E-02 , 
