-0.54,-0.017178893,,-540000
-0.541156791,-0.017108351,,-541156.7907
-0.542226847,-0.017041253,,-542226.8474
-0.543265571,-0.016975396,,-543265.5711
-0.544218466,-0.016912938,,-544218.4664
-0.545078794,-0.016854131,,-545078.7939
-0.545826799,-0.016799731,,-545826.7991
-0.546454043,-0.016750024,,-546454.043
-0.546953879,-0.016705198,,-546953.8788
-0.547324773,-0.016665206,,-547324.7728
-0.547568242,-0.016629846,,-547568.2424
-0.547688686,-0.016598767,,-547688.6864
-0.54769238,-0.016571516,,-547692.3795
-0.547586821,-0.016547567,,-547586.8209
-0.547380063,-0.016526366,,-547380.0628
-0.547080229,-0.016507356,,-547080.2286
-0.546695163,-0.016490015,,-546695.1634
-0.546232234,-0.016473868,,-546232.2336
-0.54569824,-0.01645851,,-545698.2397
-0.54509941,-0.01644361,,-545099.4099
-0.544441437,-0.016428916,,-544441.437
-0.543729526,-0.016414251,,-543729.5256
-0.542968426,-0.016399508,,-542968.4255
-0.542162435,-0.01638464,,-542162.435
-0.541315369,-0.01636965,,-541315.369
-0.540430493,-0.016354579,,-540430.4934
-0.539510434,-0.016339494,,-539510.4342
-0.538557074,-0.016324478,,-538557.0741
-0.537571449,-0.016309615,,-537571.4492
-0.536553663,-0.016294989,,-536553.6633
-0.535502832,-0.016280669,,-535502.8321
-0.534417073,-0.016266704,,-534417.0727
-0.533293549,-0.016253121,,-533293.5493
-0.532128583,-0.016239919,,-532128.5831
-0.53091783,-0.016227067,,-530917.8296
-0.529656521,-0.016214509,,-529656.521
-0.528339763,-0.01620216,,-528339.763
-0.52696287,-0.016189915,,-526962.8701
-0.525521715,-0.016177651,,-525521.7149
-0.524013067,-0.016165236,,-524013.0668
-0.52243489,-0.016152532,,-522434.89
-0.520786578,-0.016139408,,-520786.578
-0.519069104,-0.016125739,,-519069.1044
-0.517285081,-0.01611142,,-517285.0808
-0.515438722,-0.016096363,,-515438.7215
-0.513535725,-0.016080501,,-513535.7247
-0.511583087,-0.016063795,,-511583.087
-0.509588873,-0.016046224,,-509588.8731
-0.507561962,-0.016027789,,-507561.9616
-0.505511785,-0.016008509,,-505511.7849
-0.503448076,-0.015988415,,-503448.0759
-0.501380624,-0.015967548,,-501380.6244
-0.499319043,-0.015945958,,-499319.0427
-0.497272532,-0.015923694,,-497272.5316
-0.49524964,-0.015900809,,-495249.6396
